tick,time_s,decision,p_x,m_x,s_x,p_v,m_v,s_v,p_a,m_a,s_a,gap_ps,gap_pm,target_x_m_star,target_t_m_star,target_v_star
126,12.600000000000001,merge,130.68023779952475,108.3079691223211,80.97540393837843,8.296769570591419,7.614632987535905,6.702976814844522,-0.44475681800751854,-0.11250753195797138,0.33787304104875326,49.70483386114631,22.37226867720365,150.0,17.1,12.0
127,12.700000000000001,merge,131.50792681696353,109.06886170108116,81.64705594801103,8.25934691359532,7.603192191565381,6.726872333797717,-0.3045893270097435,-0.11410593660904303,0.146377057499116,49.8608708689525,22.43906511588237,150.0,16.700000000000003,12.0
128,12.8,merge,132.33320338659993,109.82918297281334,82.32065659699585,8.254575977115776,7.608815157859448,6.746962745997079,0.19894601485062569,0.22083094512387982,0.255693735632203,50.01254678960409,22.50402041378659,150.0,16.8,12.0
129,12.9,merge,133.16021396265802,110.59150230939372,82.9966642653203,8.291054499039857,7.64083955238913,6.773577889138965,0.5241113502189529,0.4169173832620839,0.278910453975954,50.163549697337714,22.5687116532643,150.0,16.9,12.0
130,13.0,merge,133.99224165277198,111.35780650525005,83.67532968519029,8.35243454909547,7.686597998217958,6.798963535736829,0.7002385101165984,0.4981303639072505,0.23286379354137404,50.31691196758169,22.634435147521927,150.0,17.0,12.0
131,13.100000000000001,merge,134.83107613806115,112.12893102808516,84.35620896587153,8.425143488204752,7.7356873688960315,6.816948238922822,0.7535368687594725,0.4858086388941242,0.13239731803566301,50.47486717218962,22.702145109975987,150.0,17.1,11.0
132,13.200000000000001,merge,135.67728945603355,112.90501274941231,85.03885224420456,8.498466773210541,7.786782801926602,6.838732252427867,0.7141629468159261,0.5359503888388129,0.30129670605994685,50.638437211828986,22.77227670662124,150.0,17.200000000000003,11.0
133,13.3,merge,136.53049873164713,113.6863010968267,85.7243460513886,8.563721583462884,7.8383390846701975,6.872292562561153,0.5943145510758581,0.49723270480780196,0.370209741848314,50.806152680258535,22.844197634820432,150.0,16.8,12.0
134,13.4,merge,137.3905377337952,114.47310558294883,86.413628763287,8.64375112460832,7.9024500263165205,6.915394916946463,0.9959287502903724,0.7792208988222751,0.4921898680883293,50.97690897050822,22.91743215084638,150.0,16.9,12.0
135,13.5,merge,138.26019069706464,115.26740771793342,87.10760654330218,8.752177022273392,7.985180626737081,6.964033092007829,1.1680837157098098,0.8744958649347269,0.4844997041170145,51.15258415376246,22.99278297913122,150.0,17.0,12.0
